0,,Hitam,,,Putih,,,
,,,109,,,126,,
Kelompok,Proposal,Min,Actual,Max,Min,Actual,Max,Nilai
1,Artificial life dari Grey Wolf,50,79,100,60,85,100,39
2,Termites Clear Field,86,96,106,106,116,126,92
3,Bullies and Dweebs - Dweeb Twiddle,53,59,69,69,73,100,10
4,Kejar-kejaran,21,41,81,21,41,81,0
5,CATCH And RUN,55,60,65,70,75,80,10
6,Semut Mencari Makanan,20,40,81,20,40,81,0
7,Bird flock Artificial Life,1,50,60,1,50,60,0
8,Bird migration movement in swarm optimization,66,68,73,68,70,75,13
9,Semut Mencari makan,80,110,140,80,110,140,86.33333333
10,GNAT,60,70,80,60,70,80,5
11,Shark and Fish Swarm,40,55,70,60,70,80,10
12,THE PREDATOR,90,100,110,90,100,110,70
13,Sugar Raid,60,48,42,60,48,42,0
14,Rayap Mencari Serpihan Kayu,45,50,60,55,60,65,10
15,ANT SIMULATION,75,85,90,80,95,100,55
16,The War Game,120,150,180,120,150,180,36.66666667
17,Fish Artificial Life,50,65,70,50,65,70,0
18,Buffalo Swarm Particle Simulation,70,81,90,70,80,90,26
19,Ants Artificial Life,80,74,65,80,74,65,13
20,Ant Searching For Food,100,162,162,100,162,162,14.22580645
